subject,chapter,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation
"Logic","Chapter 4","hard","Case: A student evaluates two conflicting articles before forming a conclusion. Which trait does this demonstrate?","Uncritical thinking","Critical thinking","Dogmatism","Conformity","B","Evaluating multiple perspectives before concluding is critical thinking."
"Logic","Chapter 4","hard","Trick: If a person always accepts statements from authority without question, what barrier to critical thinking are they showing?","Open-mindedness","Uncritical thinking","Skepticism","Reasoning","B","Accepting claims blindly is uncritical thinking."
"Logic","Chapter 4","hard","Case: A student questions the reliability of survey data before using it in research. This is an example of?","Dogmatism","Critical thinking","Conformity","Bias","B","Questioning evidence before accepting it shows critical thinking."
"Logic","Chapter 4","hard","Trick: Someone forms a conclusion based on their emotions only, ignoring evidence. What type of thinking is this?","Critical thinking","Uncritical thinking","Skepticism","Reasoning","B","Relying solely on emotion without evaluation is uncritical thinking."
"Logic","Chapter 4","hard","Case: Sara examines the assumptions behind an argument on climate change. This demonstrates?","Dogmatism","Critical thinking","Bias","Hasty conclusion","B","Evaluating hidden assumptions is a core critical thinking skill."
"Logic","Chapter 4","hard","Trick: Believing information just because it aligns with your prior beliefs demonstrates?","Open-mindedness","Confirmation bias","Skepticism","Critical thinking","B","Favoring information that confirms prior beliefs is confirmation bias, a barrier to critical thinking."
"Logic","Chapter 4","hard","Case: A student actively looks for weaknesses in both sides of a debate before deciding. This shows?","Uncritical thinking","Critical thinking","Conformity","Bias","B","Carefully evaluating arguments for strengths and weaknesses demonstrates critical thinking."
"Logic","Chapter 4","hard","Trick: Accepting every argument at face value without questioning premises is?","Critical thinking","Uncritical thinking","Skepticism","Open-mindedness","B","Failing to evaluate arguments indicates uncritical thinking."
"Logic","Chapter 4","hard","Case: John examines evidence for and against a claim about climate policy, then forms a reasoned conclusion. This is?","Dogmatism","Critical thinking","Conformity","Hasty generalization","B","Careful evaluation of evidence shows critical thinking."
"Logic","Chapter 4","hard","Trick: Ignoring evidence that contradicts your position is a form of?","Open-mindedness","Closed-mindedness","Skepticism","Critical thinking","B","Ignoring contradictory evidence shows closed-mindedness, a barrier to critical thinking."
"Logic","Chapter 4","hard","Case: A student questions the reliability of a source and compares it with multiple references. This demonstrates?","Critical thinking","Hasty conclusion","Uncritical thinking","Dogmatism","A","Evaluating multiple sources reflects critical thinking."
"Logic","Chapter 4","hard","Trick: Relying solely on personal experience for beliefs without examining evidence is?","Critical thinking","Uncritical thinking","Skepticism","Reasoning","B","Over-reliance on personal experience indicates uncritical thinking."
"Logic","Chapter 4","hard","Case: An argument is carefully analyzed for hidden assumptions and biases. This is?","Critical thinking","Dogmatism","Hasty generalization","Conformity","A","Identifying hidden assumptions and biases is critical thinking."
"Logic","Chapter 4","hard","Trick: Accepting information without checking facts first is?","Critical thinking","Uncritical thinking","Skepticism","Open-mindedness","B","Blind acceptance without verification is uncritical thinking."
"Logic","Chapter 4","hard","Case: Maria evaluates multiple sources and reconciles conflicting evidence before forming a conclusion. This shows?","Dogmatism","Critical thinking","Bias","Hasty conclusion","B","Reconciling conflicting evidence reflects critical thinking."
"Logic","Chapter 4","hard","Trick: Assuming a claim is true just because a famous person says it is?","Critical thinking","Uncritical thinking","Bias","Skepticism","B","Accepting claims based on authority without analysis is uncritical thinking."
"Logic","Chapter 4","hard","Case: A student identifies fallacies in an argument and explains why the reasoning is flawed. This demonstrates?","Critical thinking","Dogmatism","Conformity","Hasty generalization","A","Spotting fallacies shows critical thinking skills."
"Logic","Chapter 4","hard","Trick: Ignoring evidence that challenges your beliefs is an example of?","Open-mindedness","Closed-mindedness","Skepticism","Critical thinking","B","Rejecting opposing evidence is closed-mindedness, a barrier to critical thinking."
"Logic","Chapter 4","hard","Case: A student weighs pros and cons of a political policy and decides objectively. This demonstrates?","Dogmatism","Critical thinking","Conformity","Hasty conclusion","B","Objective evaluation of pros and cons is critical thinking."
"Logic","Chapter 4","hard","Trick: Accepting statements just because they are repeated frequently is?","Critical thinking","Uncritical thinking","Skepticism","Open-mindedness","B","Repetition without evaluation leads to uncritical thinking."
"Logic","Chapter 4","hard","Case: Evaluating statistical data carefully before using it in research demonstrates?","Critical thinking","Dogmatism","Bias","Hasty conclusion","A","Careful analysis of data is a key component of critical thinking."
"Logic","Chapter 4","hard","Trick: Believing information because it is emotionally appealing is?","Critical thinking","Uncritical thinking","Skepticism","Open-mindedness","B","Accepting claims based on emotion alone is uncritical thinking."
"Logic","Chapter 4","hard","Case: A student examines the logic and evidence in a debate before deciding a winner. This shows?","Critical thinking","Dogmatism","Conformity","Hasty generalization","A","Careful analysis of reasoning is critical thinking."
"Logic","Chapter 4","hard","Trick: Jumping to conclusions without evaluating evidence is?","Critical thinking","Uncritical thinking","Skepticism","Open-mindedness","B","Forming a conclusion prematurely is uncritical thinking."
"Logic","Chapter 4","hard","Case: A student considers opposing viewpoints fairly and justifies their own position. This demonstrates?","Critical thinking","Dogmatism","Conformity","Hasty conclusion","A","Fairly evaluating and justifying positions is critical thinking."
"Logic","Chapter 4","hard","Trick: Assuming that all new information supporting your opinion is true, but opposing evidence is false, shows?","Critical thinking","Confirmation bias","Skepticism","Open-mindedness","B","Favoring information that confirms existing beliefs is confirmation bias."
"Logic","Chapter 4","hard","Case: Evaluating multiple arguments, identifying weaknesses, and forming a reasoned judgment is?","Critical thinking","Dogmatism","Hasty generalization","Conformity","A","Critical thinking involves evaluating arguments and reasoning."
"Logic","Chapter 4","hard","Trick: Rejecting evidence because it conflicts with personal beliefs is an example of?","Open-mindedness","Closed-mindedness","Skepticism","Critical thinking","B","Closed-mindedness prevents fair evaluation of evidence."
"Logic","Chapter 4","hard","Case: A student distinguishes between opinion and fact before forming a conclusion. This demonstrates?","Critical thinking","Uncritical thinking","Dogmatism","Hasty conclusion","A","Separating fact from opinion is critical thinking."
"Logic","Chapter 4","hard","Trick: Accepting claims solely because they align with popular opinion shows?","Critical thinking","Bandwagon effect / uncritical thinking","Skepticism","Open-mindedness","B","Accepting claims because of popularity is a barrier to critical thinking."
